id;nome;segmento;descricao
1;parse SSL incentivize;Impressionante Granito;transmitter Team-oriented digital
2;Fantástico adapter Corporate;protocol Licenciado;models
3;Toalhas;Bahia Architect cinza;rosa payment
4;Configuration marca;Factors projection Configuration;Madeira cultivate Bicicleta
5;Cambridgeshire;port eyeballs;RAM
6;programming Rua;Uruguayo Refinado;web-readiness parsing deposit
7;Assimilated Concreto;azul;1080p matrix Congelado
8;Account;Checking;Granito
9;Central;Accounts fuligem backing;Jardim
10;Automotivo hacking multi-byte;model;adapter
